股票代码,股票名,涨停次数
605222,N起帆,3
601456,N国联,3
002991,N甘源,3
605118,力鼎光电,4
002799,环球印务,3
300855,图南股份,9
002400,省广集团,3
300318,博晖创新,5
002699,美盛文化,3
002173,创新医疗,3
000757,浩物股份,3
300853,申昊科技,8
300858,科拓生物,7
603733,仙鹤股份,3
002082,万邦德,4
300857,协创数据,7
605188,国光连锁,6
605199,葫芦娃,10
002625,光启技术,7
000828,东莞控股,4
600165,新日恒力,3
300778,新城市,2
300579,数字认证,2
002965,祥鑫科技,2
002096,南岭民爆,2
300846,首都在线,2
000524,岭南控股,2
000088,盐 田 港,2
603212,赛伍技术,2
600351,亚宝药业,2
000573,粤宏远Ａ,2
603579,荣泰健康,2
600543,莫高股份,2
002151,北斗星通,2
300829,金丹科技,2
300099,精准信息,2
000887,中鼎股份,2
600592,龙溪股份,2
600187,国中水务,2
688366,昊海生科,2
300540,深冷股份,2
300218,安利股份,2
002314,南山控股,2
603898,好莱客,2
000560,我爱我家,2
600435,北方导航,2
002383,合众思壮,2
002992,宝明科技,2
605318,法狮龙,2
