股票代码,股票名,涨停次数
600543,莫高股份,4
002651,利君股份,2
605188,国光连锁,8
605399,晨光新材,3
600834,申通地铁,2
600363,联创光电,3
300123,亚光科技,2
605118,力鼎光电,6
000908,景峰医药,2
300855,图南股份,10
300823,建科机械,2
300857,协创数据,9
002151,北斗星通,4
002991,甘源食品,5
605199,葫芦娃,10
603069,海汽集团,2
002985,北摩高科,2
600391,航发科技,2
600435,北方导航,4
601216,君正集团,2
002967,广电计量,2
002297,博云新材,2
000828,东莞控股,6
300858,科拓生物,9
300729,乐歌股份,3
300554,三超新材,2
605318,法狮龙,4
600980,北矿科技,2
002995,天地在线,2
605158,华达新材,2
603809,豪能股份,2
300218,安利股份,4
002992,宝明科技,4
300139,晓程科技,2
600988,赤峰黄金,2
300087,荃银高科,2
000762,西藏矿业,2
300077,国民技术,2
600351,亚宝药业,4
300099,精准信息,4
601456,国联证券,5
600139,西部资源,3
300255,常山药业,2
002285,世联行,2
002506,协鑫集成,2
